,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,ÜRÜN,,
,,,,,,,,MAKİNA,,
,TEDARİKÇİ FİRMALAR,FİRMA,MAHAL-1,MAHAL-2,İMALAT,AÇIKLAMA-1,AÇIKLAMA-2,Makina,Detay,Birim
,Öztop,Camsan,A-Blok,Temel,Malzeme Faturası,Mıcır nakliyesi,200'LÜK,Jcb,390 Paletli,Kg.
,Shn,Koparan,B-Blok,2.bodrum tabliye,Malzeme İrsaliyesi,Drenaj borusu yerleştirme,150 GR,Ekskavatör,210 Lastikli,Ton
,Canbek,Camsan&Koparan,C-Blok,1.Bodrum tabliye,İş Mak. Çalış. Faturası,Kepçe çalışması,Depodan,Vinç,310 Paletli,Saat
,Mini Kepçe,Altın Raket,D-Blok,Zemin Kat tabliye,İş Mak. Çalış. İrsaliyesi,Kamyon seferi,Ocaktan,Kamyon,35 AIY 929,Sefer
,Ceber,,E-Blok,Asma Kat tabliye,,Vinç çalışması,Ø20,Pompa,35 CGC 689,Yevmiye
,Artı Yedi,,Şantiye,1.Kat tabliye,,Malzeme,Ø16,Malzeme,35 BCY 219,Adet
,Barış Vinç,,A-B. Blok,Çatı Katı tabliye,,Pompa Kirası,Ø14,Mini Kepçe,35 BKM 330,Gr.
,,,,A Blok Döşeme B Blok Kolon,,Bağlantı yolu yapılması,Ø10,,35 BKM 352,Mt.
,,,,Kazı,,Saha içi çalışma,Ø12,,230 Paletli,M2
,,,,A-B Blok Kolon filizleri,,Temel kenar temizliği,Enjeksiyon,,Korega Boru,
,,,,Drenaj,,Stoktan çamur yükleme,,,Mıcır,
,,,,Rampa ,,Drenaj kuyusu,,,Blokaj Malzemesi,
,,,,Yol,,Saha temizliği,,,Geo tekstil keçe,
,,,,"Bina Kenar Dolgusu, Yol yapımı",,Temel kenar dolgusu,,,İnşaat Demiri,
,,,,D Blok kazı,,Satış Ofisi ,,,Tamer,
,,,,"A-B Blok Kolon filizleri, 2. Tabliye demiri",,Drenaj kazısı,,,İbrahim,
,,,,D Blok drenaj,,İnşaat Demiri,,,Süleyman,
,,,,,,KPÇ 42.5 Çimento,,,Drenaj borusu,
,,,,,,Drenaj Rogarı Yükseltme,,,Koruge Manson,
,,,,,,Blok Kazısı,,,Bypass,
,,,,,,Yol Çalışması,,,5 tonluk,
,,,,,,Enjeksiyon mak. Kurulumu,,,25 Ton,
,,,,,,,,,Doğan,